ID,Korte omschrijving,Intervals,Extra info,Video,Img,Youtube Id,,
H77,600m en 400m series,,"Kern 1:
4x 100m op de rechte stukken

Kern 2:
3x600m T=10km P=200m3x400m T=5km   P=200m
Serie 2x",,,,,
H78,5K beginnersclinic programma,,,,,,,
H79,,,,,,,,
H80,,,,,,,,
H81,,,,,,,,
H82,,,,,,,,
H83,,,,,,,,
,,,,,,,,
C001,3 Rondes uitlopen,,,,,,,
C002,Statische rekoefeningen,,,,,,,
